Station,Date,Year,Time,Precip,Air max,min ,obs temp
WTSNVILE.C,8/26/2005,2005,800,0,71,49,52
WTSNVILE.C,8/27/2005,2005,800,0,72,52,55
WTSNVILE.C,8/28/2005,2005,800,0,71,55,55
WTSNVILE.C,8/29/2005,2005,800,0,76,53,54
WTSNVILE.C,8/30/2005,2005,800,0,86,51,51
WTSNVILE.C,8/31/2005,2005,800,0,72,50,52
WTSNVILE.C,9/1/2005,2005,800,0,66,52,56
WTSNVILE.C,9/2/2005,2005,800,0,67,56,56
WTSNVILE.C,9/3/2005,2005,800,0,66,54,54
WTSNVILE.C,9/4/2005,2005,800,0,67,54,55
WTSNVILE.C,9/5/2005,2005,800,0,71,49,49
WTSNVILE.C,9/6/2005,2005,800,0,67,49,52
WTSNVILE.C,9/7/2005,2005,800,0,64,53,55
WTSNVILE.C,9/8/2005,2005,800,0,68,55,56
WTSNVILE.C,9/9/2005,2005,800,0,66,56,60
WTSNVILE.C,9/10/2005,2005,800,0,67,56,56
WTSNVILE.C,9/11/2005,2005,800,0,67,51,53
WTSNVILE.C,9/12/2005,2005,800,0,67,48,50
WTSNVILE.C,9/13/2005,2005,800,0,64,49,55
WTSNVILE.C,9/14/2005,2005,800,0,66,55,55
WTSNVILE.C,9/15/2005,2005,800,0,64,50,55
WTSNVILE.C,9/16/2005,2005,800,0,65,55,55
WTSNVILE.C,9/17/2005,2005,800,0,71,51,55
WTSNVILE.C,9/18/2005,2005,800,0,70,47,50
WTSNVILE.C,9/19/2005,2005,800,0,85,48,49
WTSNVILE.C,9/20/2005,2005,800,0,62,48,54
WTSNVILE.C,9/21/2005,2005,800,0,77,53,54
WTSNVILE.C,9/22/2005,2005,800,0,72,51,51
WTSNVILE.C,9/23/2005,2005,800,0,69,51,53
WTSNVILE.C,9/24/2005,2005,800,0,71,46,46
WTSNVILE.C,9/25/2005,2005,800,0,70,46,46
WTSNVILE.C,9/26/2005,2005,800,0,67,46,53
WTSNVILE.C,9/27/2005,2005,800,0,73,52,54
WTSNVILE.C,9/28/2005,2005,800,0,82,51,51
WTSNVILE.C,9/29/2005,2005,800,0,90,50,50
WTSNVILE.C,9/30/2005,2005,800,0,82,50,51
WTSNVILE.C,10/1/2005,2005,800,0,73,50,52
WTSNVILE.C,10/2/2005,2005,800,0,73,52,53
WTSNVILE.C,10/3/2005,2005,800,0,72,46,47
WTSNVILE.C,10/4/2005,2005,800,0,72,45,45
WTSNVILE.C,10/5/2005,2005,800,0,81,45,45
WTSNVILE.C,10/6/2005,2005,800,0,80,45,48
WTSNVILE.C,10/7/2005,2005,800,0,68,48,48
WTSNVILE.C,10/8/2005,2005,800,0,70,45,45
WTSNVILE.C,10/9/2005,2005,800,0,72,45,50
WTSNVILE.C,10/10/2005,2005,800,0,85,46,47
WTSNVILE.C,10/11/2005,2005,800,0,64,46,50
WTSNVILE.C,10/12/2005,2005,800,0,73,48,51
WTSNVILE.C,10/13/2005,2005,800,0,88,46,46
WTSNVILE.C,10/14/2005,2005,800,0,69,45,49
WTSNVILE.C,10/15/2005,2005,800,0.1,69,48,54
WTSNVILE.C,10/16/2005,2005,800,0,80,46,47
WTSNVILE.C,10/17/2005,2005,800,0,87,46,52
WTSNVILE.C,10/18/2005,2005,800,0,66,52,57
WTSNVILE.C,10/19/2005,2005,800,0,68,57,58
WTSNVILE.C,10/20/2005,2005,800,0,69,47,48
WTSNVILE.C,10/21/2005,2005,800,0,73,47,48
WTSNVILE.C,10/22/2005,2005,800,0,60,47,50
WTSNVILE.C,10/23/2005,2005,800,0,62,49,49
WTSNVILE.C,10/24/2005,2005,800,0,56,48,53
WTSNVILE.C,10/25/2005,2005,800,0.01,64,53,54
WTSNVILE.C,10/26/2005,2005,800,0,64,49,50
WTSNVILE.C,10/27/2005,2005,800,0.06,65,50,52
WTSNVILE.C,10/28/2005,2005,800,0,69,50,50
WTSNVILE.C,10/29/2005,2005,800,0,65,50,55
WTSNVILE.C,10/30/2005,2005,800,0,72,43,43
WTSNVILE.C,10/31/2005,2005,800,0,83,45,47
WTSNVILE.C,11/1/2005,2005,800,0,70,48,49
WTSNVILE.C,11/2/2005,2005,800,0,64,49,54
WTSNVILE.C,11/3/2005,2005,800,0,64,41,42
WTSNVILE.C,11/4/2005,2005,800,0.05,67,42,53
WTSNVILE.C,11/5/2005,2005,800,0,67,42,43
WTSNVILE.C,11/6/2005,2005,800,0,67,43,50
WTSNVILE.C,11/7/2005,2005,800,0,67,50,55
WTSNVILE.C,11/8/2005,2005,800,0,69,55,56
WTSNVILE.C,11/9/2005,2005,800,0,68,52,53
WTSNVILE.C,11/10/2005,2005,800,0.15,67,49,49
WTSNVILE.C,11/11/2005,2005,800,0,63,48,51
WTSNVILE.C,11/12/2005,2005,800,0,68,45,45
WTSNVILE.C,11/13/2005,2005,800,0,71,44,45
WTSNVILE.C,11/14/2005,2005,800,0,70,45,48
WTSNVILE.C,11/15/2005,2005,800,0,80,48,48
WTSNVILE.C,11/16/2005,2005,800,0,84,48,48
WTSNVILE.C,11/17/2005,2005,800,0,85,47,47
WTSNVILE.C,11/18/2005,2005,800,0,86,48,50
WTSNVILE.C,11/19/2005,2005,800,0,84,44,46
WTSNVILE.C,11/20/2005,2005,800,0,84,43,43
WTSNVILE.C,11/21/2005,2005,800,0,81,40,40
WTSNVILE.C,11/22/2005,2005,800,0,71,41,42
WTSNVILE.C,11/23/2005,2005,800,0,68,42,43
WTSNVILE.C,11/24/2005,2005,800,0,62,43,46
WTSNVILE.C,11/25/2005,2005,800,0,63,46,53
WTSNVILE.C,11/26/2005,2005,800,0.18,62,37,37
WTSNVILE.C,11/27/2005,2005,800,0,63,33,34
WTSNVILE.C,11/28/2005,2005,800,0,62,35,43
WTSNVILE.C,11/29/2005,2005,800,0.5,56,42,49
WTSNVILE.C,11/30/2005,2005,800,0.02,67,47,47
WTSNVILE.C,12/1/2005,2005,800,0.13,59,47,55
WTSNVILE.C,12/2/2005,2005,800,0.76,60,46,46
WTSNVILE.C,12/3/2005,2005,800,0,58,36,37
WTSNVILE.C,12/4/2005,2005,800,0,61,35,35
WTSNVILE.C,12/5/2005,2005,800,0,64,35,38
WTSNVILE.C,12/6/2005,2005,800,0,64,34,36
WTSNVILE.C,12/7/2005,2005,800,0,60,35,37
WTSNVILE.C,12/8/2005,2005,800,0.05,61,36,49
WTSNVILE.C,12/9/2005,2005,800,0,66,44,44
WTSNVILE.C,12/10/2005,2005,800,0,72,42,44
WTSNVILE.C,12/11/2005,2005,800,0,64,44,46
WTSNVILE.C,12/12/2005,2005,800,0,59,42,42
WTSNVILE.C,12/13/2005,2005,800,0,59,42,49
WTSNVILE.C,12/14/2005,2005,800,0,62,37,39
WTSNVILE.C,12/15/2005,2005,800,0,64,38,38
WTSNVILE.C,12/16/2005,2005,800,0,59,34,34
WTSNVILE.C,12/17/2005,2005,800,0,56,34,44
WTSNVILE.C,12/18/2005,2005,800,2.06,57,44,53
WTSNVILE.C,12/19/2005,2005,800,1.56,61,52,52
WTSNVILE.C,12/20/2005,2005,800,0,67,47,51
WTSNVILE.C,12/21/2005,2005,800,0,63,51,54
WTSNVILE.C,12/22/2005,2005,800,0.83,61,54,59
WTSNVILE.C,12/23/2005,2005,800,1.15,62,56,56
WTSNVILE.C,12/24/2005,2005,800,0,73,50,50
WTSNVILE.C,12/25/2005,2005,800,0,58,49,53
WTSNVILE.C,12/26/2005,2005,800,1.03,62,53,53
WTSNVILE.C,12/27/2005,2005,800,0,63,50,51
WTSNVILE.C,12/28/2005,2005,800,0.29,62,51,54
WTSNVILE.C,12/29/2005,2005,800,0.11,58,41,41
WTSNVILE.C,12/30/2005,2005,800,0.01,59,41,49
WTSNVILE.C,12/31/2005,2005,800,0.79,62,49,59
WTSNVILE.C,1/1/2006,2006,800,0.27,58,44,45
WTSNVILE.C,1/2/2006,2006,800,2.08,54,45,53
WTSNVILE.C,1/3/2006,2006,800,0.85,55,42,45
WTSNVILE.C,1/4/2006,2006,800,0,69,45,48
WTSNVILE.C,1/5/2006,2006,800,0,73,47,47
WTSNVILE.C,1/6/2006,2006,800,0,70,44,44
WTSNVILE.C,1/7/2006,2006,800,0.26,62,44,49
WTSNVILE.C,1/8/2006,2006,800,0.01,62,41,41
WTSNVILE.C,1/9/2006,2006,800,0,66,40,41
WTSNVILE.C,1/10/2006,2006,800,0,60,38,40
WTSNVILE.C,1/11/2006,2006,800,0,58,40,50
WTSNVILE.C,1/12/2006,2006,800,0,66,44,44
WTSNVILE.C,1/13/2006,2006,800,0,65,43,44
WTSNVILE.C,1/14/2006,2006,800,0.47,55,44,49
WTSNVILE.C,1/15/2006,2006,800,0.15,56,35,35
WTSNVILE.C,1/16/2006,2006,800,0.01,59,35,40
WTSNVILE.C,1/17/2006,2006,800,0,59,40,41
WTSNVILE.C,1/18/2006,2006,800,0.63,57,40,49
WTSNVILE.C,1/19/2006,2006,800,0.08,58,36,36
WTSNVILE.C,1/20/2006,2006,800,0,59,34,35
WTSNVILE.C,1/21/2006,2006,800,0,57,34,42
WTSNVILE.C,1/22/2006,2006,800,0,64,36,36
WTSNVILE.C,1/23/2006,2006,800,0,66,36,36
WTSNVILE.C,1/24/2006,2006,800,0,73,35,37
WTSNVILE.C,1/25/2006,2006,800,0,58,37,38
WTSNVILE.C,1/26/2006,2006,800,0.08,57,38,48
WTSNVILE.C,1/27/2006,2006,800,0,59,37,42
WTSNVILE.C,1/28/2006,2006,800,0.01,59,42,44
WTSNVILE.C,1/29/2006,2006,800,0.33,61,43,52
WTSNVILE.C,1/30/2006,2006,800,0,56,47,48
WTSNVILE.C,1/31/2006,2006,800,0.28,58,39,40
WTSNVILE.C,2/1/2006,2006,800,0,63,39,43
WTSNVILE.C,2/2/2006,2006,800,0.04,60,43,55
WTSNVILE.C,2/3/2006,2006,800,0.01,69,46,47
WTSNVILE.C,2/4/2006,2006,800,0,63,46,52
WTSNVILE.C,2/5/2006,2006,800,0.01,67,43,48
WTSNVILE.C,2/6/2006,2006,800,0,76,46,46
WTSNVILE.C,2/7/2006,2006,800,0,79,43,45
WTSNVILE.C,2/8/2006,2006,800,0,80,44,45
WTSNVILE.C,2/9/2006,2006,800,0,80,44,47
WTSNVILE.C,2/10/2006,2006,800,0,75,42,43
WTSNVILE.C,2/11/2006,2006,800,0,64,43,48
WTSNVILE.C,2/12/2006,2006,800,0,77,43,45
WTSNVILE.C,2/13/2006,2006,800,0,78,45,46
WTSNVILE.C,2/14/2006,2006,800,0,69,42,43
WTSNVILE.C,2/15/2006,2006,800,0,58,36,37
WTSNVILE.C,2/16/2006,2006,800,0,55,32,32
WTSNVILE.C,2/17/2006,2006,800,0,49,32,41
WTSNVILE.C,2/18/2006,2006,800,0.07,52,36,38
WTSNVILE.C,2/19/2006,2006,800,0.32,55,38,40
WTSNVILE.C,2/20/2006,2006,800,0.01,56,34,34
WTSNVILE.C,2/21/2006,2006,800,0,56,32,32
WTSNVILE.C,2/22/2006,2006,800,0,65,32,34
WTSNVILE.C,2/23/2006,2006,800,0,72,34,38
WTSNVILE.C,2/24/2006,2006,800,0,69,38,38
WTSNVILE.C,2/25/2006,2006,800,0,58,38,45
WTSNVILE.C,2/26/2006,2006,800,0,61,45,47
WTSNVILE.C,2/27/2006,2006,800,0.49,65,47,54
WTSNVILE.C,2/28/2006,2006,800,0.81,61,47,50
WTSNVILE.C,3/1/2006,2006,800,0.09,59,43,43
WTSNVILE.C,3/2/2006,2006,800,0.46,58,43,46
WTSNVILE.C,3/3/2006,2006,800,0.35,53,42,42
WTSNVILE.C,3/4/2006,2006,800,0.3,57,35,37
WTSNVILE.C,3/5/2006,2006,800,0.05,62,37,45
WTSNVILE.C,3/6/2006,2006,800,0.59,59,45,49
WTSNVILE.C,3/7/2006,2006,800,0.18,58,48,48
WTSNVILE.C,3/8/2006,2006,800,0.08,60,37,38
WTSNVILE.C,3/9/2006,2006,800,0.06,59,38,47
WTSNVILE.C,3/10/2006,2006,800,0.27,51,38,39
WTSNVILE.C,3/11/2006,2006,800,0.69,56,34,35
WTSNVILE.C,3/12/2006,2006,800,0.24,52,35,38
WTSNVILE.C,3/13/2006,2006,800,0.15,57,33,34
WTSNVILE.C,3/14/2006,2006,800,0.63,57,36,46
WTSNVILE.C,3/15/2006,2006,800,0.28,58,44,45
WTSNVILE.C,3/16/2006,2006,800,0,58,43,45
WTSNVILE.C,3/17/2006,2006,800,0.62,55,45,47
WTSNVILE.C,3/18/2006,2006,800,0.16,60,36,38
WTSNVILE.C,3/19/2006,2006,800,0,60,36,37
WTSNVILE.C,3/20/2006,2006,800,0,51,37,47
WTSNVILE.C,3/21/2006,2006,800,0.7,54,42,43
WTSNVILE.C,3/22/2006,2006,800,0,61,41,41
WTSNVILE.C,3/23/2006,2006,800,0,67,42,44
WTSNVILE.C,3/24/2006,2006,800,0,65,44,50
WTSNVILE.C,3/25/2006,2006,800,1.09,59,47,52
WTSNVILE.C,3/26/2006,2006,800,0.02,65,39,42
WTSNVILE.C,3/27/2006,2006,800,0,60,42,45
WTSNVILE.C,3/28/2006,2006,800,0.44,60,45,51
WTSNVILE.C,3/29/2006,2006,800,0.84,58,43,45
WTSNVILE.C,3/30/2006,2006,800,0.21,58,45,49
